,Country,Land,BMZ Nummer,Projektführendes Referat,Vorhabenbezeichnung,Inhaltliche Erläuterung,Haushaltstitel,Projektbeginn,Geplantes Projektende,Auftragsbetrag gesamt BMZ-Mittel,Auszahlungsbetrag gesamt,Geplante Beauftragungen 2023,Ländernamen
0,Angola,AGO,2020.2256.4,101.0,Unterstützung der internationalen Allianz zur Reduzierung von Gesundheitsrisiken im Wildtierhandel,"Eine internationale Allianz wird als interdisziplinäre, inklusive Austausch-Plattform etabliert, um wissenschaftliche Evidenz in die Praxis und konkrete Policy-Empfehlungen zu übersetzen. So verbreitet sie erfolgreich Ansätze zur Reduzierung von Risiken der Umwelt-, Human- und Tiergesundheit im Umgang mit Wildtieren und Wildtierprodukten entlang der gesamten Handelskette.","Kap. 2301 Tit. 896 03 
(TZ)",2020-12-15 00:00:00.000,2024-12-31 00:00:00,8500000.0,2703186.25,3215000.0,"Angola, Bolivien, Brasilien, Bhutan, Botsuana, Kongo Dem. Rep., Kongo Republik, Kamerun, China VR, Guatemala, Indonesien, Indien, Kenia, Laos, Mongolei, Nigeria, Philippinen, Thailand, Vietnam, Sambia"
1,Irak,IRQ,2019.2364.8,111.0,Kultur und Kreativwirtschaft,"Das GV „Kultur- und Kreativwirtschaft“ (Subsahara Afrika und Naher Osten) schafft bessere Ausbildungsmöglichkeiten, mehr Jobs und höhere Einkommen insbesondere für Frauen der Kultur- und Kreativbranche und fördert gleichberechtigte wirtschaftliche Teilhabe im Sinne einer feministischen Entwicklungspolitik. Kreativunternehmerinnen werden zudem als gesellschaftliche Change Agents gestärkt: für mehr Wertschöpfung vor Ort, Verbesserung von Arbeitsbedingungen (insbes. soziale Sicherung) und zur Unterstützung von Meinungsvielfalt und Identitätsdiskurs. Darüber hinaus werden ausgehend von der Kultur- und Kreativwirtschaft Beiträge zur Reflektion kolonialer Kontinuitäten u.a. durch gezielte Dialogformate und gleichberechtigte Wirtschaftskooperationen (Nord-Süd/Süd-Nord) initiiert. ","Kap. 2301 Tit. 896 03 
(TZ)",2020-03-08 00:00:00.000,2024-03-31 00:00:00,20875293.68,12068657.47,0.0,"Irak, Jordanien, Kenia, Libanon, Senegal, Südafrika"
2,Ecuador,ECU,2021.2006.1,112.0,Allianzen für Handelserleichterungen,Die Leistungsfähigkeit von Regierungen für die Umsetzung von Trade Facilitation Maßnahmen unter Einbeziehung des Privatsektors sind gestärkt,"Kap. 2301 Tit. 896 03 
(TZ)",2021-01-26 00:00:00.000,2024-01-31 11:00:00,14350000.0,8094199.24,1500000.0,"Ecuador, Ghana, Indonesien, Jordanien, Kenia, Marokko, Montenegro, Nigeria, Senegal, Thailand"
3,Bangladesch,BGD,2021.2208.3,120.0,Inititiative Globale Solidarität (IGS): Komponente GIZ,"Unterstützungsmaßnahmen für Umsetzung Lieferkettengesetz in Partnerländern, z.B. Einrichtung von Helpdesks in örtlichen Dachverbänden, Förderung von Initiativen zur Steigerung der Transparenz in Lieferketten, Flankierung von Beschwerdemechanismen.","Kap. 2301 Tit. 896 03 
(TZ)",2021-07-01 09:59:59.999,2024-06-30 00:00:00,34250000.0,7769442.9,0.0,"Bangladesch, Kambodscha, Serbien, Vietnam"
4,Kolumbien,COL,2018.2085.1,122.0,Fonds zur Förderung der personellen Zusammenarbeit mit Partnern der internationalen Agrarforschung - PIAF,"Vorhaben zum strategischen Aufbau von Kapazitäten in internationalen Agrarforschungsein-richtungen der Globalen Forschungspartnerschaft für eine ernährungssichere Zukunft (CGIAR) durch Entsendung von CIM Integrierten Fachkräften. Dies trägt dazu bei, dass Forschungsergebnisse in entwicklungsrelevante Fortschritte für Kleinbäuer*innn umgewandelt werden können.","Kap. 2301 Tit. 896 03 
(TZ)",2018-12-10 00:00:00.000,2024-09-30 00:00:00,10600000.0,7612686.52,0.0,"Kolumbien, Ägypten, Äthiopien, Ghana, Honduras, Indonesien, Indien, Kenia, Sri Lanka, Marokko, Malawi, Mexiko, Nigeria, Peru, Philippinen, Thailand, Tansania, Uganda, Vietnam"
5,Äthiopien,ETH,2019.0128.9,122.0,Stärkung der Qualitätsinfrastruktur für Innovationen,"Verbreitung sowie Anwendung von national bzw. regional verfügbaren qualitätssichernden Dienstleistungen, um Prozesse sowie Produkte der Agrar- und Ernährungswirtschaft etwa durch die Einhaltung von Normen und Vorschriften zu optimieren, hinsichtlich ihrer Qualität besser zu beurteilen (Prüfungen und Messungen) und auszuweisen (Zertifizierung). ","Kap. 2310 Tit. 896 31
(SI Transformation der Agrar‐ und Ernährungssysteme)",2020-01-01 00:00:00.000,2024-03-31 00:00:00,2000000.0,1360000.0,0.0,Äthiopien
6,Côte d'Ivoire,CIV,2019.0112.3,122.0,Wasser und Energie für eine nachhaltige Agrar- und Ernährungswirtschaft,"Durch die Förderung des multisektoralen Nexus-
Ansatzes „Wasser- Energy- Food-Nexus“ gemeinsam mit der Privatwirtschaftsförderung für die Verbreitung
von klimafreundlichen Innovationen leistet das Modul einen erheblichen Beitrag zur Klimaschutz
und Klimaanpassung.","Kap. 2310 Tit. 896 31
(SI Transformation der Agrar‐ und Ernährungssysteme)",2020-01-01 00:00:00.000,2024-12-31 00:00:00,23000000.0,14225980.12,1300000.0,"Côte d'Ivoire, Kenia"
7,Burkina Faso,BFA,2017.0133.3,123.0,Beschäftigung im ländlichen Raum mit Fokus auf Jugendliche," Das GV setzt in Kenia, Malawi, Mosambik und Burkina Faso einen integrierten Ansatz zur Beschäftigungsförderung von Jugendlichen im ländlichen Raum um. Ziel ist es, die Beschäftigungssituation im ländlichen Raum insbesondere für Jugendliche zu verbessern. Die Sektorkomponente des GV berät zum Thema Jugendbeschäftigung im Bereich Landwirtschaft (G20 Initiative zu Jugendbeschäftigung). Die Maßnahme wird mit Ende der Laufzeit (31.12.2024) auslaufen und wichtige Kernaktivitäten in bestehende bilaterale Vorhaben integriert.","Kap. 2310 Tit. 896 31
(SI Transformation der Agrar‐ und Ernährungssysteme)",2018-01-01 00:00:00.000,2024-12-01 00:00:00,36500000.0,22398640.01,0.0,"Burkina Faso, Kenia, Malawi, Mosambik"
8,Albanien,ALB,2021.2211.7,411.0,Bekämpfung Illegaler Finanzströme (IFF),"Das GV stärkt globale, regionale und nationale Systeme zur entwicklungsorientierten Bekämpfung illegaler Finanzströme. Thematische Schwerpunkte sind Prävention, Finanzermittlung und Vermögensrückführung. Die regionalen Schwerpunkte sind Afrika, Lateinamerika und der Westbalkan, mit jeweils eigenen Regionalbüros. NOR kofinanziert das Vorhaben mit 5,85 Mio. EUR.","Kap. 2301 Tit. 896 03 
(TZ)",2021-10-01 09:59:59.999,2024-09-30 00:00:00,15000000.0,6683731.33,0.0,"Albanien, Bosnien und Herzegovina, Ghana, Kenia, Nordmazedonien, Peru, Serbien, Senegal, Tunesien, Tansania, Uganda, Kosovo"
9,Brasilien,BRA,2021.2214.1,414.0,Cities Finance Facility (CFF),"Die Cities Finance Facility (CFF) berät Städte bei der Vorbereitung und Finanzierung von sozial inklusiven Stadtentwicklungsprojekten, die zu Minderung und Anpassung an den Klimawandel beitragen (Leitungsschwerpunkt Just Transition). Die CFF als Multigeberpartnerschaft wird durch eine Kombi-Finanzierung mit dem britischen Ministerium Department for Business, Energy and Industrial Strategy (BEIS) sowie durch die französische Agence Francaise du Development aufgestockt, USAid plant ebenfalls einen Beitrag ab 2023. Die Aufstockung durch Kombi-Finanzierungen weiterer Geber ermöglicht der CFF, ihre Projekte zu skalieren und politische Sichtbarkeit durch eine Geberallianz zu stärken.","Kap. 2301 Tit. 896 03 
(TZ)",2021-04-01 00:00:00.000,2024-10-31 00:00:00,7250000.0,5856059.52,0.0,"Brasilien, Kolumbien, Ecuador, Ghana, Indonesien, Indien, Malaysia, Peru, Philippinen, Sierra Leone, Senegal, Südafrika"
