"DONOR","RECIPIENT","SECTOR","CHANNEL","AIDTOTHRU","FLOWTYPE","AMOUNTTYPE","TIME","Agency Name","OECD ID","Donor Project ID","Recipient Name","Region Name","Income Group Name","Aid To Or Through","Flow Code","Flow Name","Type of Aid Code","Type of Aid Name","USD Commitments Current","USD Commitments Constant","USD Disbursements Current","USD Disbursements Constant","Short Description","Project title","Sector Name","Channel of Delivery Name","Reported Channel of Delivery Name","Channel Category","Channel Category Name","Geography","Long Description","Gender equality","Environment","Program-based Approaches","Investment Project","Biodiversity","Climate Mitigation","Climate Adaptation","Desertification","Value"
"5","9998","99810","47081","10","112","D","2018","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2018014970","N/A","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","1.2308730000000001","1.2322249999999999","1.2308730000000001","1.2322249999999999","CONTRIBUTION TO OECD-DEV. CENTRE","Contribution to OECD-Dev. Centre","IX. Unallocated / Unspecified","OECD Development Centre","OECD-Dev. Centre","47000","Other multilateral institutions","","Contribution to OECD-Dev. Centre","","","","","","","","","1.232225"
"5","9998","99810","47081","10","112","D","2018","Federal Ministry of Finance","2018015001","47081","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","0.62454100000000001","0.62522699999999998","0.62454100000000001","0.62522699999999998","CONTRIBUTION TO OECD-DEV. CENTRE","Contribution to OECD-Dev. Centre","IX. Unallocated / Unspecified","OECD Development Centre","OECD-Dev. Centre","47000","Other multilateral institutions","","Contribution to OECD-Dev. Centre","","","","","","","","","0.625227"
"5","9998","99810","47081","10","112","D","2018","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2018014970","N/A","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","1.2308730000000001","1.2322249999999999","1.2308730000000001","1.2322249999999999","CONTRIBUTION TO OECD-DEV. CENTRE","Contribution to OECD-Dev. Centre","IX. Unallocated / Unspecified","OECD Development Centre","OECD-Dev. Centre","47000","Other multilateral institutions","","Contribution to OECD-Dev. Centre","","","","","","","","","1.232225"
"5","9998","99810","47081","10","112","D","2018","Federal Ministry of Finance","2018015001","47081","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","0.62454100000000001","0.62522699999999998","0.62454100000000001","0.62522699999999998","CONTRIBUTION TO OECD-DEV. CENTRE","Contribution to OECD-Dev. Centre","IX. Unallocated / Unspecified","OECD Development Centre","OECD-Dev. Centre","47000","Other multilateral institutions","","Contribution to OECD-Dev. Centre","","","","","","","","","0.625227"
"5","9998","99810","41101","10","112","D","2018","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2018014929","N/A","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","1.8823559999999999","1.884423","1.8823559999999999","1.884423","CONTRIBUTION TO UNCCD","Contribution to UNCCD","IX. Unallocated / Unspecified","Convention to Combat Desertification","UNCCD","41000","United Nations (UN) agency, fund or commission","","Contribution to UNCCD","","","","","","","","","1.884423"
"5","9998","99810","41101","10","112","D","2018","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2018014929","N/A","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","1.8823559999999999","1.884423","1.8823559999999999","1.884423","CONTRIBUTION TO UNCCD","Contribution to UNCCD","IX. Unallocated / Unspecified","Convention to Combat Desertification","UNCCD","41000","United Nations (UN) agency, fund or commission","","Contribution to UNCCD","","","","","","","","","1.884423"
"5","9998","99810","41108","10","112","D","2018","Bundesministerium fnr Wirtschaftliche Zusammenarbeit und Entwicklung","2018014930","10","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","999","","B02","Core contributions to multilateral institutions and global funds","21.642866000000001","21.666634999999999","21.642866000000001","21.666634999999999","CONTRIBUTION TO IFAD","Contribution to IFAD","IX. Unallocated / Unspecified","International Fund for Agricultural Development","IFAD","41000","United Nations (UN) agency, fund or commission","","Contribution to IFAD","","","","","","","","","21.666635"
"5","9998","99810","41107","10","112","D","2018","Federal Ministry for Economic Affairs and Energy","2018015006","N/A","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","6.2148320000000004","6.2216570000000004","6.2148320000000004","6.2216570000000004","CONTRIBUTION TO IAEA-TCF","Contribution to IAEA-TCF","IX. Unallocated / Unspecified","International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only)","IAEA-TCF","41000","United Nations (UN) agency, fund or commission","","Contribution to IAEA-TCF","","","","","","","","","6.221657"
"5","9998","99810","41107","10","112","D","2018","Federal Ministry for Economic Affairs and Energy","2018015006","N/A","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","6.2148320000000004","6.2216570000000004","6.2148320000000004","6.2216570000000004","CONTRIBUTION TO IAEA-TCF","Contribution to IAEA-TCF","IX. Unallocated / Unspecified","International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only)","IAEA-TCF","41000","United Nations (UN) agency, fund or commission","","Contribution to IAEA-TCF","","","","","","","","","6.221657"
"5","9998","99810","41303","10","112","D","2018","Federal Ministry for Economic Affairs and Energy","2018015009","41303","Bilateral, unspecified","Developing countries unspecified","Part I unallocated by income","Core contributions to","11","ODA Grants","B02","Core contributions to multilateral institutions and global funds","1.5986069999999999","1.600363","1.4659599999999999","1.46757","CONTRIBUTION TO ITU","Contribution to ITU","IX. Unallocated / Unspecified","International Telecommunications Union","ITU","41000","United Nations (UN) agency, fund or commission","","Contribution to ITU","","","","","","","","","1.46757"
